iter	Passed	Remaining
0	3	5720
1	6	5591
2	9	5394
3	12	5454
4	15	5391
5	18	5262
6	21	5279
7	24	5177
8	27	5121
9	29	5025
10	32	4939
11	34	4870
12	37	4856
13	40	4826
14	42	4807
15	45	4794
16	48	4785
17	51	4769
18	53	4757
19	56	4733
20	59	4724
21	61	4695
22	64	4672
23	66	4655
24	69	4629
25	71	4630
26	74	4621
27	76	4588
28	79	4566
29	81	4534
30	83	4511
31	86	4504
32	89	4500
33	91	4475
34	93	4450
35	95	4431
36	98	4413
37	100	4399
38	103	4391
39	105	4371
40	107	4350
41	109	4337
42	112	4321
43	114	4310
44	117	4308
45	119	4300
46	122	4304
47	124	4297
48	127	4289
49	129	4282
50	132	4276
51	134	4270
52	137	4262
53	139	4256
54	141	4243
55	144	4232
56	146	4231
57	149	4221
58	151	4217
59	154	4213
60	156	4211
61	159	4206
62	161	4203
63	164	4194
64	166	4190
65	169	4191
66	171	4186
67	174	4180
68	176	4179
69	179	4173
70	181	4171
71	184	4163
72	186	4158
73	188	4151
74	191	4141
75	193	4139
76	196	4137
77	198	4134
78	201	4125
79	203	4124
80	206	4121
81	208	4118
82	210	4105
83	213	4103
84	215	4098
85	218	4094
86	220	4090
87	223	4087
88	225	4081
89	227	4073
90	230	4070
91	232	4064
92	234	4055
93	237	4051
94	239	4051
95	242	4049
96	244	4048
97	247	4044
98	250	4044
99	252	4042
100	255	4043
101	257	4039
102	260	4033
103	262	4027
104	264	4018
105	266	4012
106	269	4006
107	271	4001
108	273	3994
109	275	3987
110	278	3981
111	280	3974
112	282	3972
113	285	3970
114	287	3967
115	290	3966
116	292	3964
117	295	3961
118	297	3957
119	300	3956
120	302	3951
121	304	3944
122	307	3938
123	309	3930
124	311	3925
125	314	3922
126	316	3918
127	318	3912
128	321	3911
129	323	3908
130	326	3904
131	328	3901
132	330	3898
133	333	3894
134	335	3888
135	337	3882
136	339	3876
137	342	3874
138	344	3871
139	347	3867
140	349	3861
141	351	3856
142	353	3850
143	356	3849
144	358	3848
145	361	3848
146	363	3844
147	366	3841
148	368	3838
149	371	3840
150	374	3839
151	376	3837
152	379	3834
153	381	3827
154	383	3823
155	385	3819
156	388	3818
157	391	3816
158	393	3814
159	395	3811
160	398	3808
161	400	3805
162	403	3805
163	406	3806
164	409	3805
165	411	3801
166	413	3798
167	416	3797
168	418	3793
169	421	3790
170	423	3788
171	426	3784
172	428	3780
173	430	3778
174	433	3776
175	436	3776
176	438	3775
177	441	3774
178	443	3772
179	446	3768
180	448	3766
181	451	3764
182	453	3759
183	455	3755
184	458	3755
185	460	3752
186	463	3752
187	466	3749
188	468	3745
189	471	3743
190	473	3740
191	475	3735
192	477	3731
193	480	3727
194	482	3720
195	484	3715
196	486	3712
197	488	3706
198	490	3701
199	493	3698
200	495	3694
201	497	3689
202	499	3684
203	501	3678
204	503	3668
205	505	3663
206	507	3658
207	509	3656
208	512	3653
209	514	3649
210	516	3645
211	518	3641
212	520	3637
213	523	3634
214	525	3632
215	528	3629
216	530	3628
217	533	3624
218	535	3622
219	538	3619
220	540	3618
221	543	3615
222	545	3612
223	547	3610
224	550	3606
225	552	3603
226	555	3602
227	557	3602
228	560	3600
229	562	3598
230	565	3594
231	567	3591
232	570	3589
233	572	3586
234	574	3584
235	577	3581
236	579	3578
237	582	3575
238	584	3573
239	587	3571
240	589	3568
241	591	3565
